competency_id,batch_id,title,description,related_skills,related_skills_with_bloom,skill_focus,future_relevance,all_skills_human_verified,human_quality,human_relevant,human_skill_focus,human_notes,reviewer_id
C2_b42,42,Lead and Manage Software Development Teams,"Lead and manage multi-functional agile teams by coaching individuals, building training plans, and overseeing project execution to deliver high-quality software products.","[""build training plans"", ""build trust with diverse teams"", ""coach others"", ""conduct skill assessments"", ""ensure accountability across teams"", ""influence business teams"", ""lead project"", ""leading team(s)"", ""manage Support Engineers"", ""manage staff"", ""meet organizational goals"", ""multi -functional agile team"", ""shape a world-class team"", ""support a team"", ""work with dynamic team""]",build training plans (Bloom: nan); build trust with diverse teams (Bloom: nan); coach others (Bloom: nan); conduct skill assessments (Bloom: nan); ensure accountability across teams (Bloom: nan); influence business teams (Bloom: nan); lead project (Bloom: nan); leading team(s) (Bloom: nan); manage Support Engineers (Bloom: nan); manage staff (Bloom: Apply); meet organizational goals (Bloom: nan); multi -functional agile team (Bloom: nan); shape a world-class team (Bloom: nan); support a team (Bloom: nan); work with dynamic team (Bloom: nan),Both,"Effective leadership and team management are essential for navigating complex software development projects and fostering collaborative environments, especially with the rise of distributed teams and agile methodologies.",,,,,,
C4_b91,91,Manage Procurement and Process Rollout,"Apply project management methodologies to manage procurement activities, including contract administration, and oversee the rollout of new processes.","[""manage procurement contracts administration"", ""manage procurement"", ""manage process rollout activities""]",manage procurement contracts administration (Bloom: Apply); manage procurement (Bloom: Apply); manage process rollout activities (Bloom: nan),Both,"Efficient procurement and process implementation are essential for organizational agility and resource optimization, supporting rapid adaptation to market changes and technological advancements.",,,,,,
C2_b147,147,Develop and Integrate Cloud-Native Microservices,"Apply principles of cloud computing to implement robust REST-based microservices, enabling scalable and distributed application architectures.","[""implementing REST based micro services""]",implementing REST based micro services (Bloom: Apply),Hard,"Cloud-native development and microservices are foundational for modern, scalable, and resilient applications. Proficiency in this area is essential for building future-proof systems in cloud environments.",,,,,,
C2_b16,16,Lead Digital Design for Enhanced User Experience,"Lead the digital design process, specifically focusing on UX/UI, to ensure the creation of intuitive and effective user experiences across various software applications and platforms.","[""lead digital design UX/UI""]",lead digital design UX/UI (Bloom: nan),Soft,"As digital products become more pervasive, leadership in UX/UI design is essential for creating competitive and user-friendly solutions. This skill is vital for driving innovation and user adoption in the evolving digital landscape.",,,,,,
C7_b137,137,Quality Assurance and Audit Support,Assist with scheduled tests and audits to ensure product quality and compliance with established standards.,"[""assist with scheduled tests"", ""assist with audits""]",assist with scheduled tests (Bloom: nan); assist with audits (Bloom: nan),Soft,Maintaining high standards of quality and compliance through rigorous testing and auditing is essential for building trust and ensuring the reliability of software and systems.,,,,,,
C6_b25,25,AI Frameworks and Autonomous Workflows,Apply knowledge of current Generative AI frameworks to maintain an inventory of AI models and work autonomously within AI-driven environments.,"[""stay current with Gen AI frameworks"", ""maintain inventory of AI models"", ""Work in an autonomous""]",stay current with Gen AI frameworks (Bloom: Apply); maintain inventory of AI models (Bloom: Create); Work in an autonomous (Bloom: Apply),Hard,"Staying abreast of rapidly evolving AI frameworks, especially Generative AI, and adapting to autonomous work environments are key for innovation and efficiency in future AI-centric workplaces.",,,,,,
C1_b76,76,Develop Secure and Reliable Systems,"Create robust systems that protect data against unauthorized access and loss, ensuring high reliability and minimizing downtime through the application of security best practices and fault-tolerant design.","[""protect data"", ""protecting the company’s global security posture"", ""protect data against unauthorised access"", ""protect data against loss"", ""minimize downtime"", ""maximize reliability of system output""]",protect data (Bloom: Apply); protecting the company’s global security posture (Bloom: Apply); protect data against unauthorised access (Bloom: Create); protect data against loss (Bloom: Apply); minimize downtime (Bloom: Apply); maximize reliability of system output (Bloom: Apply),Hard,"This competency is crucial for building trustworthy digital infrastructure, which is increasingly vital as cyber threats evolve and data privacy regulations become stricter. It underpins the stability and integrity of all digital services.",,,,,,
C2_b146,146,Develop and Optimize Data Integration Pipelines,"Apply knowledge of data integration techniques to implement batch data pipelines and integrate with platforms like Salesforce, ensuring efficient and reliable data flow.","[""implement batch integration with Salesforce"", ""implement batch data pipelines""]",implement batch integration with Salesforce (Bloom: Apply); implement batch data pipelines (Bloom: Apply),Hard,"With the increasing volume and variety of data, the ability to build and manage robust data pipelines is essential for data-driven decision-making and AI/ML initiatives. This competency supports the growing demand for data engineers.",,,,,,
C6_b30,30,Adapt and Thrive in Dynamic Development Environments,"Thrive in fast-paced, structured, and creative development environments by demonstrating resilience and adaptability to achieve long-term change and support digital transformation roadmaps.","[""thrive in structured environments"", ""grow in a fast-paced development environment"", ""live balanced lives"", ""thrive in a fast -paced"", ""thrive in a vibrant"", ""thrives in a creative"", ""achieve long-term change"", ""support digital transformation roadmap"", ""retaining talented individuals""]",thrive in structured environments (Bloom: nan); grow in a fast-paced development environment (Bloom: nan); live balanced lives (Bloom: nan); thrive in a fast -paced (Bloom: Apply); thrive in a vibrant (Bloom: Apply); thrives in a creative (Bloom: Apply); achieve long-term change (Bloom: nan); support digital transformation roadmap (Bloom: nan); retaining talented individuals (Bloom: Apply),Both,"The rapid pace of technological change demands professionals who are adaptable, resilient, and capable of continuous learning and growth within dynamic work settings, contributing to successful digital transformations.",,,,,,
C2_b31,31,Develop and Optimize Advanced Data Analytics Systems,"Evaluate and implement robust Digital/Data and IT Strategies by analyzing complex data, maintaining real-time analytics solutions, scaling enterprise data warehouses, and improving data pipelines using tools like Databricks.","[""implement Digital/Data and IT Strategies"", ""analyze data"", ""maintain real-time analytics solutions"", ""scale enterprise Data Warehouse"", ""high -performance analytics"", ""tackle complex data challenges"", ""driving the organization's data strategy"", ""work with Databricks"", ""improve data pipeline"", ""lead data governance efforts"", ""lead Data Governance""]",implement Digital/Data and IT Strategies (Bloom: Evaluate); analyze data (Bloom: Analyze); maintain real-time analytics solutions (Bloom: Analyze); scale enterprise Data Warehouse (Bloom: Apply); high -performance analytics (Bloom: Apply); tackle complex data challenges (Bloom: nan); driving the organization's data strategy (Bloom: Evaluate); work with Databricks (Bloom: Apply); improve data pipeline (Bloom: Create); lead data governance efforts (Bloom: nan); lead Data Governance (Bloom: nan),Both,"Big Data & Analytics is a domain with strong growth, and proficiency in developing and optimizing data systems is essential for informed decision-making and leveraging data as a strategic asset.",,,,,,
C3_b56,56,Frontend Development and Technical Implementation,Create robust and user-centric frontend solutions by applying technical skills to translate requirements into deployments and ensure effective technical implementation.,"[""develop frontend skills"", ""leverage your technical skills"", ""translate requirements into deployments"", ""technical implementation.""]",develop frontend skills (Bloom: Create); leverage your technical skills (Bloom: Apply); translate requirements into deployments (Bloom: Apply); technical implementation. (Bloom: Apply),Hard,"Frontend development remains a critical component of user experience and digital product success. The demand for skilled developers who can effectively translate design into functional interfaces will continue to grow, especially with advancements in web technologies and interactive experiences.",,,,,,
C3_b114,114,Advanced User Enablement and Support,"Evaluate and implement comprehensive end-user enablement strategies by developing documentation and training programs, including those for emerging technologies like LLMs, to ensure effective adoption and utilization.","[""support end-user enablement through documentation"", ""support end-user enablement through training"", ""stay current with LLMs""]",support end-user enablement through documentation (Bloom: nan); support end-user enablement through training (Bloom: nan); stay current with LLMs (Bloom: Apply),Both,"With the rapid introduction of new AI tools and complex software, effective user enablement is critical for maximizing technology adoption and productivity. This competency directly addresses the need to support users in leveraging advanced systems, including Large Language Models.",,,,,,
C2_b169,169,Adaptive Software Development and Technology Integration,"Modernize complex applications and component-driven front-ends by embracing evolving technologies, picking up new frameworks, and developing custom frameworks to enhance design maturity and maintain relevance.","[""embrace evolving technologies"", ""modernize complex applications"", ""modernise component driven front-ends"", ""pick up new frameworks"", ""enhance design maturity"", ""develop frameworks"", ""keeping abreast of new developments""]",embrace evolving technologies (Bloom: nan); modernize complex applications (Bloom: Apply); modernise component driven front-ends (Bloom: Apply); pick up new frameworks (Bloom: nan); enhance design maturity (Bloom: nan); develop frameworks (Bloom: Create); keeping abreast of new developments (Bloom: Create),Both,"The rapid pace of technological change necessitates continuous learning and adaptation. This competency ensures professionals can integrate new tools and methodologies, crucial for maintaining competitive advantage and innovation.",,,,,,
C1_b20,20,Develop Scalable Decentralized Applications (DApps),Create scalable decentralized applications (DApps) by applying principles of distributed systems and implementing secure smart contracts to meet specified functional and non-functional requirements.,"[""develop decentralized applications"", ""understand distributed systems"", ""smart contracts."", ""scalable decentralized applications (DApps)""]",develop decentralized applications (Bloom: Create); understand distributed systems (Bloom: Apply); smart contracts. (Bloom: Apply); scalable decentralized applications (DApps) (Bloom: Apply),Hard,"Decentralized applications and distributed systems are foundational to emerging technologies like blockchain and Web3. Proficiency in this area is crucial for building secure, transparent, and resilient digital infrastructures of the future.",,,,,,
C2_b17,17,Maintain and Optimize Automation Technologies,"Maintain and optimize existing robotic process automations and related automation technologies by analyzing performance, troubleshooting issues, and applying continuous improvements to ensure their ongoing effectiveness and reliability.","[""maintain robotic process automations"", ""automation technologies"", ""work in the Automation field""]",maintain robotic process automations (Bloom: Analyze); automation technologies (Bloom: Analyze); work in the Automation field (Bloom: Apply),Hard,"As automation becomes more pervasive, the ability to maintain and optimize these systems will be vital for ensuring business continuity and maximizing the return on investment in automation technologies.",,,,,,
C4_b105,105,Adaptive Response and Resilience,Respond effectively to complex situations and changes in priorities by demonstrating resilience and respecting individual strengths and weaknesses.,"[""respond to complex situations"", ""respond to changes in priorities"", ""respect weaknesses""]",respond to complex situations (Bloom: Apply); respond to changes in priorities (Bloom: nan); respect weaknesses (Bloom: nan),Both,"Adaptability and resilience are critical for navigating rapid technological advancements and evolving business landscapes, enabling individuals to thrive amidst uncertainty.",,,,,,
C1_b19,19,Database Ecosystem Management and Optimization,"Lead the development and implementation of processes for managing and integrating diverse database systems, ensuring high-performing and secure data ecosystems by analyzing infrastructure requirements and administering various database types.","[""administer databases"", ""manage database infrastructure"", ""lead the development of processes for database management"", ""lead the implementation of processes for database management"", ""integrate databases"", ""software systems."", ""manage systems administration"", ""data collection tools."", ""deliver high-performing database environments"", ""administer SQL databases"", ""ensure their data ecosystems""]",administer databases (Bloom: Apply); manage database infrastructure (Bloom: Analyze); lead the development of processes for database management (Bloom: Create); lead the implementation of processes for database management (Bloom: Apply); integrate databases (Bloom: Create); software systems. (Bloom: Apply); manage systems administration (Bloom: Apply); data collection tools. (Bloom: Apply); deliver high-performing database environments (Bloom: Apply); administer SQL databases (Bloom: Apply); ensure their data ecosystems (Bloom: Analyze),Hard,"Effective database management is crucial for handling the ever-increasing volume and complexity of data in modern applications. This competency ensures data integrity, accessibility, and performance, which are foundational for AI, analytics, and cloud-based solutions.",,,,,,
C1_b13,13,Game Development Vision and Innovation,Create innovative and engaging game concepts by integrating emerging technologies and market trends to shape the future of gaming experiences.,"[""shape the future of gaming""]",shape the future of gaming (Bloom: nan),Soft,"This competency is crucial for driving innovation in the rapidly evolving game development industry, ensuring graduates can contribute to and lead the creation of next-generation interactive experiences. It emphasizes forward-thinking and adaptability to new technologies.",,,,,,
C1_b141,141,Analyze System Robustness and Scalability,"Analyze system architectures and designs to ensure scalability of platforms, robustness of material database systems, and healthy risk management processes by evaluating existing structures and identifying potential vulnerabilities or bottlenecks.","[""ensure scalability of platform"", ""ensure robustness of material database system"", ""ensure robust pipelines"", ""ensure robust analytics foundations"", ""ensure risk management processes remain healthy""]",ensure scalability of platform (Bloom: Analyze); ensure robustness of material database system (Bloom: Analyze); ensure robust pipelines (Bloom: Analyze); ensure robust analytics foundations (Bloom: Analyze); ensure risk management processes remain healthy (Bloom: Analyze),Hard,"As systems become more complex and data-intensive, the ability to analyze and ensure their robustness and scalability is crucial for maintaining performance and preventing failures. This competency is vital for future-proof system design and operations.",,,,,,
C1_b10,10,Develop Software Applications,Create functional and robust software applications by applying established software development methodologies and programming best practices.,"[""develop software applications""]",develop software applications (Bloom: Create),Hard,"This competency is fundamental to the software industry and will remain critical as technology continues to evolve, requiring continuous development of new applications and systems.",,,,,,
C3_b39,39,Create Immersive Game Experiences and Training Content,"Create immersive game experiences and training content by leading the development of interactive media, building 3D first-person adventure games, and pushing the boundaries of immersive gameplay.","[""lead immersive training content development"", ""build 3D first-person adventure game"", ""push boundaries of immersive gameplay""]",lead immersive training content development (Bloom: Create); build 3D first-person adventure game (Bloom: Create); push boundaries of immersive gameplay (Bloom: nan),Both,"As virtual and augmented reality technologies advance, the demand for skilled professionals who can design and develop engaging immersive experiences for entertainment and education will continue to grow significantly.",,,,,,
C2_b125,125,Design and Implement Accessible Digital Products and Services,Create accessible digital products and services by integrating inclusive design principles to ensure usability for a diverse range of users.,"[""create accessible services"", ""create accessible products""]",create accessible services (Bloom: Create); create accessible products (Bloom: Create),Hard,"Accessibility is a growing legal and ethical requirement in software development, ensuring that technology serves all individuals. This competency supports broader market reach and compliance with evolving digital inclusion standards.",,,,,,
C1_b79,79,Deploy and Monitor Cloud-Based Systems,Perform deployment and operational monitoring of software systems within cloud environments by applying networking tasks and prioritizing requests to ensure system availability and performance.,"[""perform deployment"", ""perform operational monitoring"", ""perform networking tasks"", ""prioritize requests""]",perform deployment (Bloom: Apply); perform operational monitoring (Bloom: Analyze); perform networking tasks (Bloom: Apply); prioritize requests (Bloom: nan),Both,"Cloud computing is a strong growth area, and the ability to deploy and monitor systems in these environments is crucial for modern software development and operations. This competency ensures systems are robust and performant in scalable infrastructures.",,,,,,
C1_b102,102,Analyze and Utilize Diagnostic Tools for System Troubleshooting,"Analyze system behavior and diagnose issues by effectively utilizing a range of diagnostic tools such as logic analyzers, oscilloscopes, and protocol sniffers to identify root causes and inform corrective actions.","[""use logic analyzers"", ""use oscilloscopes"", ""use protocol sniffers""]",use logic analyzers (Bloom: Analyze); use oscilloscopes (Bloom: Apply); use protocol sniffers (Bloom: Apply),Hard,"Proficiency in diagnostic tools is crucial for maintaining complex systems and ensuring operational efficiency, especially as systems become more integrated and distributed. This skill supports robust cybersecurity and infrastructure management.",,,,,,
C1_b57,57,Collaborative Technical Solution Development,"Create technical solutions by performing hands-on development and collaborating effectively with diverse stakeholders, project teams, and networking teams to ensure successful implementation and engagement.","[""ensure stakeholders are engaged"", ""technical solutions."", ""work with project team"", ""collaborate with stakeholder leadership"", ""perform hands-on development"", ""work with networking teams"", ""collaborative environment"", ""working closely with the wider networking team"", ""engage key stakeholders."", ""work collaboratively with government sectors"", ""use technical solutions"", ""impact team engagement""]",ensure stakeholders are engaged (Bloom: nan); technical solutions. (Bloom: Apply); work with project team (Bloom: nan); collaborate with stakeholder leadership (Bloom: nan); perform hands-on development (Bloom: Create); work with networking teams (Bloom: nan); collaborative environment (Bloom: Apply); working closely with the wider networking team (Bloom: nan); engage key stakeholders. (Bloom: Apply); work collaboratively with government sectors (Bloom: nan); use technical solutions (Bloom: Apply); impact team engagement (Bloom: nan),Both,"Effective collaboration and communication are increasingly vital in complex technical environments, especially with the rise of distributed teams and interdisciplinary projects. This competency ensures individuals can integrate their technical skills within a broader organizational context.",,,,,,
C7_b43,43,Administer and Optimize Database Environments,"Manage Oracle-based data environments to ensure efficient data storage, retrieval, and system performance.","[""manage Oracle-based data environments""]",manage Oracle-based data environments (Bloom: Apply),Hard,"Database administration remains a foundational skill for managing the vast amounts of data generated by modern applications, ensuring data integrity and availability for business operations.",,,,,,
C6_b83,83,Cultivate a Continuous Learning and Adaptive Mindset,"Apply a -Driven Mindset to actively participate in continuous learning, adapting to new technologies and methodologies.","[""participate in continuous learning"", ""-Driven Mindset""]",participate in continuous learning (Bloom: nan); -Driven Mindset (Bloom: Apply),Both,The rapid pace of technological change necessitates a strong commitment to continuous learning and adaptability. This competency is fundamental for career longevity and relevance in any future industry.,,,,,,
C1_b66,66,Evaluate and Implement IT Strategies with Stakeholder Collaboration,"Evaluate IT Strategies and emerging technologies to support innovative solutions, and implement enterprise-wide planning solutions by collaborating effectively with clients, stakeholders, and junior staff.","[""IT Strategies"", ""travel for customer workshops"", ""move customers from middleware technologies to SAP Integration Suite"", ""engage with clients"", ""specialize in Dynamics 365"", ""build rapport"", ""contribute to engineering projects"", ""provide guidance in research design"", ""Work closely with Solution Architects"", ""guide junior staff"", ""assist with procurement"", ""adopt Public Sector Unified I &IT Project Methodology"", ""communicate complex ideas"", ""clients with clarity"", ""collaborate with the public"", ""support innovative solutions"", ""research emerging technologies"", ""lead initiatives to digitize material workflows"", ""relay critical information between stakeholders"", ""support tender submissions"", ""scale global communications efforts"", ""assist in production setup"", ""collaborate with customers"", ""design and develop ETL solutions"", ""engage with internal stakeholders"", ""Working closely with contractors"", ""lead implementation of enterprise-wide planning solutions"", ""work closely with traders"", ""work with community"", ""collaborate with product management""]",IT Strategies (Bloom: Evaluate); travel for customer workshops (Bloom: nan); move customers from middleware technologies to SAP Integration Suite (Bloom: Analyze); engage with clients (Bloom: nan); specialize in Dynamics 365 (Bloom: Apply); build rapport (Bloom: nan); contribute to engineering projects (Bloom: Create); provide guidance in research design (Bloom: nan); Work closely with Solution Architects (Bloom: Create); guide junior staff (Bloom: nan); assist with procurement (Bloom: nan); adopt Public Sector Unified I &IT Project Methodology (Bloom: Analyze); communicate complex ideas (Bloom: Apply); clients with clarity (Bloom: Apply); collaborate with the public (Bloom: nan); support innovative solutions (Bloom: Evaluate); research emerging technologies (Bloom: Analyze); lead initiatives to digitize material workflows (Bloom: nan); relay critical information between stakeholders (Bloom: nan); support tender submissions (Bloom: nan); scale global communications efforts (Bloom: nan); assist in production setup (Bloom: Apply); collaborate with customers (Bloom: nan); design and develop ETL solutions (Bloom: Create); engage with internal stakeholders (Bloom: nan); Working closely with contractors (Bloom: Apply); lead implementation of enterprise-wide planning solutions (Bloom: Create); work closely with traders (Bloom: nan); work with community (Bloom: nan); collaborate with product management (Bloom: nan),Both,This competency is crucial for navigating complex technological landscapes and ensuring successful project delivery. Effective collaboration and strategic evaluation are increasingly vital as IT solutions become more integrated and require diverse stakeholder input.,,,,,,
