competency_id,batch_id,title,description,related_skills,related_skills_with_bloom,skill_focus,future_relevance,all_skills_human_verified,human_quality,human_relevant,human_skill_focus,human_notes,reviewer_id
C9_b839,839,Resilient Team Leadership,"Create positive, productive work environments by bringing best selves to work through supportive leadership, clear communication, and resilience-building practices.","[""bring best selves to work"", ""bring calm"", ""bring character"", ""bring energy""]",bring best selves to work (Bloom: nan); bring calm (Bloom: Apply); bring character (Bloom: Apply); bring energy (Bloom: Apply),Both,"Resilience and adaptability show strong growth, making these skills essential for navigating rapidly changing work environments.",,,,,,
C7_b102,102,Professional Resilience and Adaptive Mindset,"Apply strategies to foster personal and team resilience by demonstrating a robust work ethic, embracing growth, and empowering staff to thrive in dynamic and challenging work environments.","[""demonstrate robust work ethic"", ""embrace growth"", ""empower staff to thrive"", ""positive and"", ""positive attitude."", ""positive behaviour support."", ""positive experience""]",demonstrate robust work ethic (Bloom: nan); embrace growth (Bloom: nan); empower staff to thrive (Bloom: nan); positive and (Bloom: Apply); positive attitude. (Bloom: Apply); positive behaviour support. (Bloom: Evaluate); positive experience (Bloom: Apply),Both,The future of work requires continuous learning and adaptability; cultivating resilience ensures individuals and teams can navigate change and sustain performance under pressure.,,,,,,
C3_b757,757,API-First Service Development and Delivery,"Create and deliver robust, API-first services and pipelines by designing scalable architectures, implementing CI/CD practices, and ensuring rapid deployment to meet modern software delivery demands.","[""deliver API -first services at pace"", ""deliver APIs"", ""deliver CI/CD pipelines"", ""define the architectural methodology for an entire group""]",deliver API -first services at pace (Bloom: Apply); deliver APIs (Bloom: Apply); deliver CI/CD pipelines (Bloom: Apply); define the architectural methodology for an entire group (Bloom: Create),Hard,"API-driven development and DevOps practices are core to cloud-native architectures and microservices, which dominate modern scalable software infrastructure.",,,,,,
C9_b557,557,Technology Risk and Technical Debt Analysis,Analyze technology risks and technical debt to inform strategic decisions that balance innovation with system stability and long-term maintainability.,"[""manage technology risk"", ""manage technical debt""]",manage technology risk (Bloom: Analyze); manage technical debt (Bloom: nan),Both,"As systems grow more complex, proactively managing risk and debt is crucial for sustainable and secure software development.",,,,,,
C6_b308,308,Data Service Management and Resilience,"Apply data management principles by performing backup and recovery operations for data services to ensure system resilience, data integrity, and continuity of business operations.","[""perform backup and recovery for data services""]",perform backup and recovery for data services (Bloom: Apply),Hard,"As data becomes a primary organizational asset, ensuring its availability and recoverability is fundamental to operational resilience and trust in digital services.",,,,,,
C2_b1006,1006,DevOps and Automated Release Management,Create automated deployment pipelines by implementing feature flags for incremental releases and automatic rollbacks to ensure robust and reliable software delivery.,"[""implement automatic rollbacks"", ""use feature flags to release incrementally"", ""manage building workflows""]",implement automatic rollbacks (Bloom: Apply); use feature flags to release incrementally (Bloom: Apply); manage building workflows (Bloom: Create),Hard,"Automation of deployment and operations is essential for modern, agile software development, enabling faster, safer releases and reducing manual toil.",,,,,,
C4_b323,323,Cross-Functional Collaboration and Coordination,"Coordinate complex product development activities by building collaborative relations across departments, partnering with diverse teams, and negotiating effectively to align technical and non-technical stakeholders.","[""aligning across three different geos"", ""aligning with global practice leads on performance"", ""alignment across prompt guidelines"", ""build collaborative relations"", ""collaborate with other departments"", ""coordinate product development activity"", ""negotiate and communicate effectively"", ""non -technical people"", ""partner with teams""]",aligning across three different geos (Bloom: Apply); aligning with global practice leads on performance (Bloom: Apply); alignment across prompt guidelines (Bloom: Apply); build collaborative relations (Bloom: nan); collaborate with other departments (Bloom: nan); coordinate product development activity (Bloom: Create); negotiate and communicate effectively (Bloom: nan); non -technical people (Bloom: Apply); partner with teams (Bloom: nan),Both,Modern software development is inherently interdisciplinary; the ability to collaborate across functions is essential for agile delivery and integrating diverse perspectives into product design.,,,,,,
C9_b810,810,Ambassadorship and Team Representation,"Apply leadership and representation skills by acting as an ambassador for projects or organizations, championing initiatives, and fostering positive external and internal relationships.","[""Act as ambassador"", ""Champion the""]",Act as ambassador (Bloom: Apply); Champion the (Bloom: Apply),Hard,"Representation and advocacy skills are important for career advancement and organizational influence, enabling professionals to promote projects, secure buy-in, and enhance brand reputation.",,,,,,
C7_b738,738,Sensor Systems and Interactive Environment Characterization,Analyze sensor systems and environmental phenomena by characterizing capacitive touch sensors and physical environment interactions to inform interactive system design.,"[""characterize sensor systems"", ""characterize phenomena in physical environments"", ""characterize capacitive touch sensors""]",characterize sensor systems (Bloom: Understand); characterize phenomena in physical environments (Bloom: Understand); characterize capacitive touch sensors (Bloom: Understand),Hard,"Understanding sensor systems and environmental interactions is crucial for developing IoT, gaming, and interactive media applications that respond to real-world contexts.",,,,,,
C2_b683,683,Strategic Technology Analysis,"Analyze and steer technology choices by evaluating architectural trade-offs, cost-benefit analyses, and alignment with business objectives to recommend optimal technical solutions.","[""steer technology choices"", ""structure to complexity""]",steer technology choices (Bloom: Analyze); structure to complexity (Bloom: Analyze),Hard,"Making informed technology decisions is vital for innovation and competitive advantage, especially as new technologies like blockchain and distributed systems emerge.",,,,,,
C5_b659,659,Design Critique and Improvement,"Create improved design solutions by critically reviewing design packages, layouts, and design reviews to enhance usability, aesthetics, and functionality.","[""review design packages"", ""review design reviews"", ""review final layouts and suggest improvements""]",review design packages (Bloom: Create); review design reviews (Bloom: Create); review final layouts and suggest improvements (Bloom: Create),Hard,"User experience (UX) and interface (UI) design are increasingly important for product success, requiring professionals who can iteratively assess and enhance design outcomes.",,,,,,
C1_b77,77,AI-Powered Software Engineering,Create and enhance autonomous software systems by engineering with Generative AI and applying AI coding agents where they add real value to accelerate development and innovation.,"[""engineer using Generative AI"", ""apply AI coding agents where they add real value"", ""enhance autonomous software""]",engineer using Generative AI (Bloom: Create); apply AI coding agents where they add real value (Bloom: Evaluate); enhance autonomous software (Bloom: Create),Hard,"This competency is critical as Generative AI transforms software development, enabling faster, more efficient creation of intelligent systems and requiring new human-AI collaboration skills.",,,,,,
