job_id,date_posted,knowledge,confidence_score,confidence_tier,source
in-068fab73d00568ea,,internal controls,0.847,High,BERT+GPT
in-068fab73d00568ea,,audit,0.75,Medium High,GPT
in-068fab73d00568ea,,insurance tracking,0.848,High,BERT+GPT
in-068fab73d00568ea,,internal audits,0.849,High,BERT+GPT
in-068fab73d00568ea,,policy control environments,0.811,High,BERT+GPT
in-068fab73d00568ea,,English,0.768,Medium High,BERT+GPT
in-068fab73d00568ea,,French,0.75,Medium High,GPT
in-068fab73d00568ea,,Portuguese,0.75,Medium High,GPT
in-068fab73d00568ea,,"audit, compliance,",0.486,Low,BERT (standalone)
in-7527e3e343c1c51e,,Entertainment advertising,0.75,Medium High,GPT
in-55dc227ddfb3daba,,economic assessments,0.75,Medium High,GPT
in-55dc227ddfb3daba,,First Nations land,0.75,Medium High,GPT
in-55dc227ddfb3daba,,compensation claims,0.75,Medium High,GPT
in-dcebbc4a4f13b41c,,security studies,0.845,High,BERT+GPT
in-dcebbc4a4f13b41c,,analysis,0.679,Medium,BERT+GPT
in-dcebbc4a4f13b41c,,wargame design,0.845,High,BERT+GPT
in-dcebbc4a4f13b41c,,structured analytical simulations,0.849,High,BERT+GPT
in-dcebbc4a4f13b41c,,degree,0.515,Medium Low,BERT (standalone)
in-006d3d5257bcc3e0,,Azure,0.848,High,BERT+GPT
in-006d3d5257bcc3e0,,Microsoft 365,0.773,Medium High,BERT+GPT
in-bcd058de579b82d6,,pension plan,0.75,Medium High,GPT
in-bcd058de579b82d6,,health and medical plan,0.75,Medium High,GPT
in-bcd058de579b82d6,,life insurance plan,0.75,Medium High,GPT
in-bcd058de579b82d6,,long term disability coverage,0.75,Medium High,GPT
in-bcd058de579b82d6,,paid time off,0.75,Medium High,GPT
in-bcd058de579b82d6,,employee assistance program,0.75,Medium High,GPT
in-bcd058de579b82d6,,discount platform,0.75,Medium High,GPT
in-92a60191d2e196a9,,information security,0.845,High,BERT+GPT
in-92a60191d2e196a9,,assurance and compliance frameworks,0.846,High,BERT+GPT
in-92a60191d2e196a9,,vulnerability management,0.847,High,BERT+GPT
in-92a60191d2e196a9,,incident detection and response,0.845,High,BERT+GPT
in-c8b4987c770c7279,,AICPA Professional Code of Conduct,0.75,Medium High,GPT
in-808b836c5b181035,,clean air solutions,0.75,Medium High,GPT
in-808b836c5b181035,,water solutions,0.75,Medium High,GPT
in-5c4160894dd7dad3,,access control,0.75,Medium High,GPT
in-5c4160894dd7dad3,,CCTV,0.75,Medium High,GPT
in-5c4160894dd7dad3,,security design,0.75,Medium High,GPT
in-5c4160894dd7dad3,,security engineering,0.75,Medium High,GPT
in-677163ce33705926,,mathematics,0.837,High,BERT+GPT
in-677163ce33705926,,technologies,0.79,Medium High,BERT+GPT
in-677163ce33705926,,design thinking,0.847,High,BERT+GPT
in-677163ce33705926,,behavioural science,0.845,High,BERT+GPT
in-f648cb5ad6e6b9bc,,financial advice,0.769,Medium High,BERT+GPT
in-d27fb4d80121df3a,,digital transactions,0.75,Medium High,GPT
in-d27fb4d80121df3a,,payment experiences,0.75,Medium High,GPT
in-e7b40f00ec330220,,DXF files,0.718,Medium High,BERT+GPT
in-43b0c2a7e9945b22,,advanced data storage,0.75,Medium High,GPT
in-43b0c2a7e9945b22,,memory technologies,0.75,Medium High,GPT
in-43b0c2a7e9945b22,,physics-based simulation,0.75,Medium High,GPT
in-46bf7d64cc32df35,,JavaScript,0.851,High,BERT+GPT
in-46bf7d64cc32df35,,Akamai Edge Worker,0.779,Medium High,BERT+GPT
in-46bf7d64cc32df35,,WAF,0.851,High,BERT+GPT
in-46bf7d64cc32df35,,CDN,0.83,High,BERT+GPT
in-46bf7d64cc32df35,,SASE environments,0.761,Medium High,BERT+GPT
in-46bf7d64cc32df35,,/,0.554,Medium Low,BERT (standalone)
in-46bf7d64cc32df35,,/,0.542,Medium Low,BERT (standalone)
in-403dd37812664d59,,media delivery,0.75,Medium High,GPT
in-403dd37812664d59,,data transmission,0.75,Medium High,GPT
in-403dd37812664d59,,smart meter,0.75,Medium High,GPT
in-403dd37812664d59,,utility provider,0.75,Medium High,GPT
in-403dd37812664d59,,behind-the-scenes technology,0.75,Medium High,GPT
in-728a91731b39b321,,performance,0.665,Medium,BERT+GPT
in-9e6f1edc95f67c4f,,business,0.75,Medium High,GPT
in-9e6f1edc95f67c4f,,administration,0.75,Medium High,GPT
in-9e6f1edc95f67c4f,,Australian education sector,0.75,Medium High,GPT
in-9e6f1edc95f67c4f,,international education sector,0.778,Medium High,BERT+GPT
in-9e6f1edc95f67c4f,,"business, administration,",0.438,Low,BERT (standalone)
in-9e6f1edc95f67c4f,,Australian,0.556,Medium Low,BERT (standalone)
in-fa689817af6aada4,,prêt-à-porter philosophy,0.75,Medium High,GPT
in-fa689817af6aada4,,jewellery,0.75,Medium High,GPT
in-fa689817af6aada4,,fashion,0.75,Medium High,GPT
in-fa689817af6aada4,,Italian market,0.75,Medium High,GPT
in-fa689817af6aada4,,international jewellery panorama,0.75,Medium High,GPT
in-118a82b17528567a,,music,0.75,Medium High,GPT
in-118a82b17528567a,,arts,0.75,Medium High,GPT
in-54b3222efc50a83a,,ecology,0.75,Medium High,GPT
in-54b3222efc50a83a,,environmental science,0.75,Medium High,GPT
in-54b3222efc50a83a,,engineering,0.75,Medium High,GPT
in-54b3222efc50a83a,,GIS,0.75,Medium High,GPT
in-54b3222efc50a83a,,sustainability,0.75,Medium High,GPT
in-9d1480a730edb81e,,transport,0.771,Medium High,BERT+GPT
in-9d1480a730edb81e,,social infrastructure,0.817,High,BERT+GPT
in-9d1480a730edb81e,,energy,0.775,Medium High,BERT+GPT
in-9d1480a730edb81e,,health,0.702,Medium High,BERT+GPT
in-9d1480a730edb81e,,housing,0.729,Medium High,BERT+GPT
in-9d1480a730edb81e,,telecommunications,0.673,Medium,BERT+GPT
in-a1ba39a8d3378e04,,data-driven transformation,0.75,Medium High,GPT
in-a1ba39a8d3378e04,,business strategy,0.75,Medium High,GPT
in-faea7aa76b3eb4ea,,console platforms,0.75,Medium High,GPT
in-faea7aa76b3eb4ea,,PC platforms,0.75,Medium High,GPT
in-dec95bd3e8dd4b22,,Agile development methodology,0.783,Medium High,BERT+GPT
in-dec95bd3e8dd4b22,,Java,0.852,High,BERT+GPT
in-dec95bd3e8dd4b22,,J2EE,0.851,High,BERT+GPT
in-dec95bd3e8dd4b22,,/,0.558,Medium Low,BERT (standalone)
in-dec95bd3e8dd4b22,,-based web application development.,0.524,Medium Low,BERT (standalone)
in-7266cf247f596f3f,,technical tools and systems,0.845,High,BERT+GPT
in-5a044ca3c13872bf,,print,0.851,High,BERT+GPT
in-5a044ca3c13872bf,,digital design,0.842,High,BERT+GPT
in-cae4dce4d5680aa4,,cyber threats,0.75,Medium High,GPT
in-cae4dce4d5680aa4,,emerging technologies,0.75,Medium High,GPT
in-d6463b3c9c791921,,cloud services,0.75,Medium High,GPT
in-d6463b3c9c791921,,Site Reliability Engineering,0.75,Medium High,GPT
in-943ad19608fc7fde,,AWS,0.75,Medium High,GPT
in-943ad19608fc7fde,,network infrastructure,0.75,Medium High,GPT
in-42cfc084e6c6a4cf,,R,0.796,Medium High,BERT+GPT
in-42cfc084e6c6a4cf,,tidyverse,0.75,Medium High,GPT
in-42cfc084e6c6a4cf,,Shiny,0.845,High,BERT+GPT
in-42cfc084e6c6a4cf,,tidymodels,0.847,High,BERT+GPT
in-42cfc084e6c6a4cf,,Azure OpenAI APIs,0.75,Medium High,GPT
in-42cfc084e6c6a4cf,,Google Gemini APIs,0.779,Medium High,BERT+GPT
in-42cfc084e6c6a4cf,,Posit Connect,0.838,High,BERT+GPT
in-42cfc084e6c6a4cf,,statistical methods,0.75,Medium High,GPT
in-42cfc084e6c6a4cf,,AI,0.742,Medium High,BERT+GPT
in-42cfc084e6c6a4cf,,LLM API—who,0.553,Medium Low,BERT (standalone)
in-42cfc084e6c6a4cf,,rigorous statistical methods,0.419,Low,BERT (standalone)
in-42cfc084e6c6a4cf,,Azure,0.559,Medium Low,BERT (standalone)
in-42cfc084e6c6a4cf,,"OpenAI APIs,",0.554,Medium Low,BERT (standalone)
in-a647ff26880d02bd,,software development lifecycle,0.771,Medium High,BERT+GPT
in-a647ff26880d02bd,,product specification,0.75,Medium High,GPT
in-a647ff26880d02bd,,unit testing,0.843,High,BERT+GPT
in-a647ff26880d02bd,,performance testing,0.845,High,BERT+GPT
in-a647ff26880d02bd,,"design, implementation,",0.454,Low,BERT (standalone)
in-9c7f28cf2c5b7fda,,cloud and infrastructure technologies,0.85,High,BERT+GPT
in-9c7f28cf2c5b7fda,,Red Hat,0.75,Medium High,GPT
in-9c7f28cf2c5b7fda,,open source,0.702,Medium High,BERT+GPT
in-9c7f28cf2c5b7fda,,Red,0.316,Very Low,BERT (standalone)
in-c4e5ee0e9dc9a45d,,AWS,0.75,Medium High,GPT
in-65a84ae03b79df62,,Conversational AI,0.85,High,BERT+GPT
in-65a84ae03b79df62,,GenAI powered,0.84,High,BERT+GPT
in-65a84ae03b79df62,,Commerce Domain,0.799,Medium High,BERT+GPT
in-a92e32344785cb8c,,Workday,0.75,Medium High,GPT
in-34059f6e6fd6d71c,,DevOps,0.688,Medium,BERT+GPT
in-096cfb69d67e378f,,AI Enablement,0.75,Medium High,GPT
in-c962a57f1bdc71b0,,IT,0.75,Medium High,GPT
in-c962a57f1bdc71b0,,Digital,0.75,Medium High,GPT
in-0f38cde44555d389,,Agile,0.852,High,BERT+GPT
in-0f38cde44555d389,,Scrum,0.75,Medium High,GPT
in-0f38cde44555d389,,Kanban,0.843,High,BERT+GPT
in-0f38cde44555d389,,Waterfall methodologies,0.75,Medium High,GPT
in-0f38cde44555d389,,Waterfall,0.557,Medium Low,BERT (standalone)
in-0f38cde44555d389,,data,0.413,Low,BERT (standalone)
in-a0aedc13475d7800,,Strategy,0.75,Medium High,GPT
in-a0aedc13475d7800,,Innovation,0.75,Medium High,GPT
in-a0aedc13475d7800,,Program Delivery,0.75,Medium High,GPT
in-a0aedc13475d7800,,Operational Services,0.75,Medium High,GPT
in-a0aedc13475d7800,,Security,0.75,Medium High,GPT
in-a0aedc13475d7800,,Assurance,0.75,Medium High,GPT
in-41233eb2c9ff759d,,Microsoft Learn,0.75,Medium High,GPT
in-41233eb2c9ff759d,,Azure,0.75,Medium High,GPT
in-502c818f30b84640,,neural network,0.774,Medium High,BERT+GPT
in-502c818f30b84640,,SOC's Neuron Cores,0.75,Medium High,GPT
in-a9b1db04cc467274,,Ads funnel,0.75,Medium High,GPT
in-a9b1db04cc467274,,abuse scenarios,0.75,Medium High,GPT
in-a9b1db04cc467274,,enforcement mechanisms,0.75,Medium High,GPT
in-a9b1db04cc467274,,circumvention of systems,0.75,Medium High,GPT
in-a9b1db04cc467274,,repeat violations,0.75,Medium High,GPT
in-a9b1db04cc467274,,repeat,0.338,Very Low,BERT (standalone)
in-27ccf4517a650c6d,,Information Technology,0.743,Medium High,BERT+GPT
in-27ccf4517a650c6d,,Knowledge Operations Management,0.805,High,BERT+GPT
in-27ccf4517a650c6d,,IT,0.844,High,BERT+GPT
in-27ccf4517a650c6d,,Information Systems Technician,0.775,Medium High,BERT+GPT
in-85998ec8954bd6f0,,SolidWorks CAD software,0.762,Medium High,BERT+GPT
in-85998ec8954bd6f0,,3D modeling,0.851,High,BERT+GPT
in-85998ec8954bd6f0,,2D print generation,0.808,High,BERT+GPT
in-85998ec8954bd6f0,,Aluminum bar & plate,0.833,High,BERT+GPT
in-85998ec8954bd6f0,,shell & tube,0.771,Medium High,BERT+GPT
in-85998ec8954bd6f0,,plate heat exchangers,0.843,High,BERT+GPT
in-85998ec8954bd6f0,,New product development processes,0.778,Medium High,BERT+GPT
in-85998ec8954bd6f0,,AI trends,0.819,High,BERT+GPT
in-85998ec8954bd6f0,,data center industry,0.825,High,BERT+GPT
in-85998ec8954bd6f0,,heat transfer,0.755,Medium High,BERT+GPT
in-85998ec8954bd6f0,,Bachelor of Science in Mechanical Engineering,0.508,Medium Low,BERT (standalone)
in-85998ec8954bd6f0,,3D,0.273,Very Low,BERT (standalone)
in-85998ec8954bd6f0,,Solidworks.,0.558,Medium Low,BERT (standalone)
in-659f5d8d6a147d3d,,3D civil,0.66,Medium,BERT+GPT
in-659f5d8d6a147d3d,,road geometry,0.843,High,BERT+GPT
in-659f5d8d6a147d3d,,surfaces,0.748,Medium High,BERT+GPT
in-659f5d8d6a147d3d,,corridor modeling,0.843,High,BERT+GPT
in-659f5d8d6a147d3d,,Civil 3D,0.846,High,BERT+GPT
in-09f9a66b0cd26247,,Revit,0.852,High,BERT+GPT
in-09f9a66b0cd26247,,BIM tools,0.843,High,BERT+GPT
in-09f9a66b0cd26247,,electrical construction,0.852,High,BERT+GPT
in-09f9a66b0cd26247,,drafting,0.683,Medium,BERT+GPT
in-09f9a66b0cd26247,,electrical components,0.841,High,BERT+GPT
in-09f9a66b0cd26247,,systems,0.75,Medium High,GPT
in-09f9a66b0cd26247,,NEC code,0.847,High,BERT+GPT
in-09f9a66b0cd26247,,construction trade,0.851,High,BERT+GPT
in-09f9a66b0cd26247,,#miller,0.533,Medium Low,BERT (standalone)
in-b83d81b3c6d88e5b,,market research,0.846,High,BERT+GPT
in-b83d81b3c6d88e5b,,market assessments and projections,0.848,High,BERT+GPT
in-b83d81b3c6d88e5b,,needs assessments,0.843,High,BERT+GPT
in-b83d81b3c6d88e5b,,financial projections,0.841,High,BERT+GPT
in-b83d81b3c6d88e5b,,internal analytic tools,0.746,Medium High,BERT+GPT
in-5515f066dc36b455,,high-performance designs,0.75,Medium High,GPT
in-5515f066dc36b455,,power-efficient designs,0.771,Medium High,BERT+GPT
in-5515f066dc36b455,,high,0.558,Medium Low,BERT (standalone)
in-ee548f649f6dcb61,,cybersecurity,0.718,Medium High,BERT+GPT
in-c6aaa27ebaaf8d44,,AI,0.75,Medium High,GPT
in-c6aaa27ebaaf8d44,,data science,0.75,Medium High,GPT
in-c6aaa27ebaaf8d44,,healthcare IT,0.75,Medium High,GPT
in-c6aaa27ebaaf8d44,,Change Healthcare product suite,0.75,Medium High,GPT
in-28f0e576f6545e94,,data strategy,0.75,Medium High,GPT
in-28f0e576f6545e94,,governance,0.75,Medium High,GPT
in-28f0e576f6545e94,,visualisation,0.75,Medium High,GPT
in-28f0e576f6545e94,,AI,0.75,Medium High,GPT
in-28f0e576f6545e94,,machine learning,0.75,Medium High,GPT
in-c96180d7bf4c4113,,containerized applications,0.85,High,BERT+GPT
in-c96180d7bf4c4113,,event streaming,0.85,High,BERT+GPT
in-c96180d7bf4c4113,,Kafka,0.85,High,BERT+GPT
in-c96180d7bf4c4113,,infrastructure-as-code,0.75,Medium High,GPT
in-c96180d7bf4c4113,,Terraform,0.849,High,BERT+GPT
in-c96180d7bf4c4113,,CI/CD pipelines,0.75,Medium High,GPT
in-c96180d7bf4c4113,,continuous delivery,0.75,Medium High,GPT
in-c96180d7bf4c4113,,infrastructure,0.559,Medium Low,BERT (standalone)
in-c96180d7bf4c4113,,-as,0.559,Medium Low,BERT (standalone)
in-c96180d7bf4c4113,,-code,0.558,Medium Low,BERT (standalone)
in-c96180d7bf4c4113,,CI,0.544,Medium Low,BERT (standalone)
in-c96180d7bf4c4113,,/,0.505,Medium Low,BERT (standalone)
in-c96180d7bf4c4113,,CD,0.491,Low,BERT (standalone)
in-f193b988e76462c8,,building codes,0.75,Medium High,GPT
in-f193b988e76462c8,,regulations,0.75,Medium High,GPT
in-f193b988e76462c8,,IBC,0.85,High,BERT+GPT
in-f193b988e76462c8,,ASCE,0.844,High,BERT+GPT
in-f193b988e76462c8,,AutoCAD,0.85,High,BERT+GPT
in-f193b988e76462c8,,Revit,0.848,High,BERT+GPT
in-f193b988e76462c8,,Bluebeam,0.847,High,BERT+GPT
in-f193b988e76462c8,,MS Office Suite,0.787,Medium High,BERT+GPT
in-f193b988e76462c8,,structural engineering tools,0.706,Medium High,BERT+GPT
in-f193b988e76462c8,,"building codes, regulations, and standard",0.445,Low,BERT (standalone)
in-f193b988e76462c8,,MS,0.559,Medium Low,BERT (standalone)
in-76d1112817f764e5,,Developed Vetting (DV) clearance,0.75,Medium High,GPT
in-76d1112817f764e5,,Vetting,0.278,Very Low,BERT (standalone)
in-7f75cc3102ed1fc2,,Arm devices,0.75,Medium High,GPT
in-7f75cc3102ed1fc2,,Arm compute solutions,0.75,Medium High,GPT
in-19f1600e8e1bc891,,hyperscalers,0.75,Medium High,GPT
in-19f1600e8e1bc891,,cloud providers,0.75,Medium High,GPT
in-19f1600e8e1bc891,,large enterprises,0.75,Medium High,GPT
in-1c10f5c5e39e19f3,,home theaters,0.75,Medium High,GPT
in-1c10f5c5e39e19f3,,lighting control,0.75,Medium High,GPT
in-1c10f5c5e39e19f3,,audio systems,0.75,Medium High,GPT
in-1c10f5c5e39e19f3,,video systems,0.75,Medium High,GPT
in-1c10f5c5e39e19f3,,surveillance systems,0.75,Medium High,GPT
in-1c10f5c5e39e19f3,,home automation systems,0.75,Medium High,GPT
in-8c2ffbda5e34d5a0,,healthcare,0.75,Medium High,GPT
in-8c2ffbda5e34d5a0,,fintech,0.75,Medium High,GPT
in-8c2ffbda5e34d5a0,,blockchain technology,0.75,Medium High,GPT
in-8c2ffbda5e34d5a0,,on-demand,0.75,Medium High,GPT
in-6365ec48489dcc36,,game creation tools,0.848,High,BERT+GPT
in-6365ec48489dcc36,,production methods,0.826,High,BERT+GPT
in-d25bd09da3ec640c,,AI technology,0.75,Medium High,GPT
in-d25bd09da3ec640c,,contracts,0.75,Medium High,GPT
in-d25bd09da3ec640c,,deal-making processes,0.75,Medium High,GPT
in-d25bd09da3ec640c,,business processes,0.75,Medium High,GPT
in-d25bd09da3ec640c,,risk management,0.75,Medium High,GPT
in-0d7e261a49f528ba,,Audit,0.772,Medium High,BERT+GPT
in-0d7e261a49f528ba,,Compliance,0.75,Medium High,GPT
in-0d7e261a49f528ba,,Governance,0.75,Medium High,GPT
in-0d7e261a49f528ba,,Change Management,0.75,Medium High,GPT
in-0d7e261a49f528ba,,Risk Management,0.75,Medium High,GPT
in-60fbadd91cce1130,,business processes,0.844,High,BERT+GPT
in-c42452e2db2e7f88,,Google Cloud,0.75,Medium High,GPT
in-37f866f002a4bbfb,,enterprise data architecture,0.75,Medium High,GPT
in-37f866f002a4bbfb,,data accessibility,0.75,Medium High,GPT
in-37f866f002a4bbfb,,data security,0.75,Medium High,GPT
in-37f866f002a4bbfb,,data standardization,0.75,Medium High,GPT
in-37f866f002a4bbfb,,institutional goals,0.75,Medium High,GPT
in-fb5bdd0dde9b0fe7,,learning management system,0.75,Medium High,GPT
in-7489e6fd007d5e17,,ISTQB,0.75,Medium High,GPT
in-7489e6fd007d5e17,,ISEB,0.75,Medium High,GPT
in-7489e6fd007d5e17,,Certified Agile Tester,0.75,Medium High,GPT
in-fef80d02cab372c3,,Ubuntu/Lubuntu Linux 22.04,0.75,Medium High,GPT
in-fef80d02cab372c3,,Android,0.842,High,BERT+GPT
in-fef80d02cab372c3,,C/C++,0.75,Medium High,GPT
in-fef80d02cab372c3,,Qt 5.x,0.775,Medium High,BERT+GPT
in-fef80d02cab372c3,,GStreamer,0.848,High,BERT+GPT
in-fef80d02cab372c3,,"GNU tools (GCC, GDB)",0.75,Medium High,GPT
in-fef80d02cab372c3,,MQTT,0.85,High,BERT+GPT
in-fef80d02cab372c3,,DDS,0.85,High,BERT+GPT
in-fef80d02cab372c3,,Yocto Linux,0.75,Medium High,GPT
in-fef80d02cab372c3,,Trac,0.848,High,BERT+GPT
in-fef80d02cab372c3,,SVN,0.849,High,BERT+GPT
in-fef80d02cab372c3,,Jenkins,0.848,High,BERT+GPT
in-fef80d02cab372c3,,GitLab/GitHub,0.75,Medium High,GPT
in-fef80d02cab372c3,,CMake,0.849,High,BERT+GPT
in-fef80d02cab372c3,,ROS2,0.852,High,BERT+GPT
in-fef80d02cab372c3,,Ethernet,0.845,High,BERT+GPT
in-fef80d02cab372c3,,TCP/IP,0.842,High,BERT+GPT
in-fef80d02cab372c3,,RTSP,0.85,High,BERT+GPT
in-fef80d02cab372c3,,IPv4,0.848,High,BERT+GPT
in-fef80d02cab372c3,,unicast,0.848,High,BERT+GPT
in-fef80d02cab372c3,,multicast,0.848,High,BERT+GPT
in-fef80d02cab372c3,,Lubuntu,0.545,Medium Low,BERT (standalone)
