job_id,date_posted,knowledge,confidence_score,confidence_tier,source,run_id
in-81cfe369e4ad49b5,,Security,0.75,Medium High,GPT,results_run1
in-81cfe369e4ad49b5,,Travel Assistance,0.75,Medium High,GPT,results_run1
in-81cfe369e4ad49b5,,Workplace Ergonomics Program,0.75,Medium High,GPT,results_run1
in-bf0e9f6211607d23,,design systems,0.75,Medium High,GPT,results_run1
in-bf0e9f6211607d23,,emerging technologies,0.75,Medium High,GPT,results_run1
in-bf0e9f6211607d23,,user experiences,0.75,Medium High,GPT,results_run1
in-f0b8e867898d9fc7,,change management,0.831,High,BERT+GPT,results_run1
in-f0b8e867898d9fc7,,business process optimization,0.828,High,BERT+GPT,results_run1
in-68c8bc8b4022b6bd,,.NET,0.828,High,BERT+GPT,results_run1
in-68c8bc8b4022b6bd,,C#,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,React.js,0.829,High,BERT+GPT,results_run1
in-68c8bc8b4022b6bd,,Next.js,0.829,High,BERT+GPT,results_run1
in-68c8bc8b4022b6bd,,Angular.js,0.831,High,BERT+GPT,results_run1
in-68c8bc8b4022b6bd,,Microservices,0.829,High,BERT+GPT,results_run1
in-68c8bc8b4022b6bd,,GraphQL (Apollo),0.83,High,BERT+GPT,results_run1
in-68c8bc8b4022b6bd,,RESTful APIs,0.829,High,BERT+GPT,results_run1
in-68c8bc8b4022b6bd,,domain-driven design,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,CI/CD,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,GitHub Actions,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,Jenkins,0.828,High,BERT+GPT,results_run1
in-68c8bc8b4022b6bd,,Bitbucket Pipelines,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,Gitlab Runners,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,AWS,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,Docker,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,Kubernetes,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,GenAI Studio,0.75,Medium High,GPT,results_run1
in-68c8bc8b4022b6bd,,C,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,"#,",0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,Architecture:,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,domain,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,-driven design.,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,CI,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,/,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,CD:,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,GitHub,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,"Actions,",0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,Bitbucket,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,"Pipelines,",0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,Gitlab,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,Runners.,0.532,Medium Low,BERT (standalone),results_run1
in-68c8bc8b4022b6bd,,Cloud,0.532,Medium Low,BERT (standalone),results_run1
in-9068e588b7dc4f2d,,AI infrastructure,0.75,Medium High,GPT,results_run1
in-9068e588b7dc4f2d,,portfolio management,0.75,Medium High,GPT,results_run1
in-9068e588b7dc4f2d,,analytics platform,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,Java,0.826,High,BERT+GPT,results_run1
in-ea5fe0c67dbb09a7,,Spring Boot,0.831,High,BERT+GPT,results_run1
in-ea5fe0c67dbb09a7,,ReactJS,0.831,High,BERT+GPT,results_run1
in-ea5fe0c67dbb09a7,,Node.js,0.824,High,BERT+GPT,results_run1
in-ea5fe0c67dbb09a7,,HTML5,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,CSS3,0.827,High,BERT+GPT,results_run1
in-ea5fe0c67dbb09a7,,JavaScript,0.823,High,BERT+GPT,results_run1
in-ea5fe0c67dbb09a7,,JSON,0.826,High,BERT+GPT,results_run1
in-ea5fe0c67dbb09a7,,jQuery,0.822,High,BERT+GPT,results_run1
in-ea5fe0c67dbb09a7,,Kafka,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,Oracle,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,MySQL,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,MongoDB,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,SQL Server,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,Nginx,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,Apache,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,Docker,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,Kubernetes,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,Scrum,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,JIRA,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,CI/CD,0.75,Medium High,GPT,results_run1
in-ea5fe0c67dbb09a7,,Bachelor’s degree,0.532,Medium Low,BERT (standalone),results_run1
in-ea5fe0c67dbb09a7,,computer science,0.532,Medium Low,BERT (standalone),results_run1
in-ea5fe0c67dbb09a7,,back,0.532,Medium Low,BERT (standalone),results_run1
in-ea5fe0c67dbb09a7,,-end,0.532,Medium Low,BERT (standalone),results_run1
in-ea5fe0c67dbb09a7,,JavaScript frameworks,0.532,Medium Low,BERT (standalone),results_run1
in-ea5fe0c67dbb09a7,,REST,0.532,Medium Low,BERT (standalone),results_run1
in-ea5fe0c67dbb09a7,,front,0.532,Medium Low,BERT (standalone),results_run1
in-ea5fe0c67dbb09a7,,-end languages,0.532,Medium Low,BERT (standalone),results_run1
in-ea5fe0c67dbb09a7,,/,0.532,Medium Low,BERT (standalone),results_run1
in-5bd95884fcfdbfe2,,Azure,0.821,High,BERT+GPT,results_run1
in-5bd95884fcfdbfe2,,networking,0.822,High,BERT+GPT,results_run1
in-5bd95884fcfdbfe2,,distributed systems,0.828,High,BERT+GPT,results_run1
in-5bd95884fcfdbfe2,,database concepts,0.75,Medium High,GPT,results_run1
in-202d174576a6328b,,autonomous systems,0.75,Medium High,GPT,results_run1
in-202d174576a6328b,,state-of-the-art technology,0.75,Medium High,GPT,results_run1
in-070ac45a5adefcb1,,OTT video,0.75,Medium High,GPT,results_run1
in-070ac45a5adefcb1,,massive scale,0.75,Medium High,GPT,results_run1
in-070ac45a5adefcb1,,resilience,0.75,Medium High,GPT,results_run1
in-8cb2b3de05fe17bb,,Cloud platforms,0.75,Medium High,GPT,results_run1
in-8cb2b3de05fe17bb,,Container platforms,0.75,Medium High,GPT,results_run1
in-8cb2b3de05fe17bb,,Azure Service Bus,0.75,Medium High,GPT,results_run1
in-8cb2b3de05fe17bb,,Amazon EventBridge,0.75,Medium High,GPT,results_run1
in-8cb2b3de05fe17bb,,"full lifecycle,",0.532,Medium Low,BERT (standalone),results_run1
in-1e8d401875ab7ace,,Java,0.83,High,BERT+GPT,results_run1
in-1e8d401875ab7ace,,Spring Boot,0.831,High,BERT+GPT,results_run1
in-1e8d401875ab7ace,,React.js,0.829,High,BERT+GPT,results_run1
in-1e8d401875ab7ace,,Vue.js,0.83,High,BERT+GPT,results_run1
in-1e8d401875ab7ace,,Next.js,0.829,High,BERT+GPT,results_run1
in-1e8d401875ab7ace,,Angular,0.821,High,BERT+GPT,results_run1
in-1e8d401875ab7ace,,modern frontend engineering,0.532,Medium Low,BERT (standalone),results_run1
in-8335c5296046dc27,,data annotation,0.83,High,BERT+GPT,results_run1
in-8335c5296046dc27,,content moderation,0.826,High,BERT+GPT,results_run1
in-8335c5296046dc27,,machine learning,0.83,High,BERT+GPT,results_run1
in-8335c5296046dc27,,NLP,0.75,Medium High,GPT,results_run1
in-8335c5296046dc27,,Python,0.75,Medium High,GPT,results_run1
in-8335c5296046dc27,,SQL,0.831,High,BERT+GPT,results_run1
in-8335c5296046dc27,,NLP -related,0.532,Medium Low,BERT (standalone),results_run1
in-8335c5296046dc27,,/,0.532,Medium Low,BERT (standalone),results_run1
in-792c7c65733a1995,,GDPR,0.75,Medium High,GPT,results_run1
in-792c7c65733a1995,,Data Protection Act 2018,0.75,Medium High,GPT,results_run1
in-792c7c65733a1995,,PECR,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,cybersecurity,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,cyber solutions,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,business resilience,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,cybersecurity programs,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,cybersecurity risk,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,security program maturity,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,cyber controls,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,cyber policies,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,cyber regulations,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,operational technology,0.75,Medium High,GPT,results_run1
in-2650e0f960a33a06,,critical information infrastructures,0.75,Medium High,GPT,results_run1
in-12365ed7bd9554c7,,digital models,0.75,Medium High,GPT,results_run1
in-12365ed7bd9554c7,,workflows,0.75,Medium High,GPT,results_run1
in-12365ed7bd9554c7,,architectural aluminum systems,0.75,Medium High,GPT,results_run1
in-12365ed7bd9554c7,,architectural glass systems,0.75,Medium High,GPT,results_run1
in-97ca47c5f555e42a,,Insurance domain concepts,0.83,High,BERT+GPT,results_run1
in-97ca47c5f555e42a,,Specialized Insurance,0.829,High,BERT+GPT,results_run1
in-97ca47c5f555e42a,,London Market,0.828,High,BERT+GPT,results_run1
in-97ca47c5f555e42a,,Regulatory Data,0.824,High,BERT+GPT,results_run1
in-97ca47c5f555e42a,,enterprise data models,0.75,Medium High,GPT,results_run1
in-97ca47c5f555e42a,,analytics,0.75,Medium High,GPT,results_run1
in-97ca47c5f555e42a,,reporting solutions,0.75,Medium High,GPT,results_run1
in-b708da2b33f5c59c,,Python,0.75,Medium High,GPT,results_run1
in-b708da2b33f5c59c,,AWS,0.75,Medium High,GPT,results_run1
in-b708da2b33f5c59c,,Flask,0.75,Medium High,GPT,results_run1
in-b708da2b33f5c59c,,Pytest,0.75,Medium High,GPT,results_run1
in-b708da2b33f5c59c,,Mypy,0.75,Medium High,GPT,results_run1
in-b708da2b33f5c59c,,Docker,0.75,Medium High,GPT,results_run1
in-b708da2b33f5c59c,,PostgreSQL,0.75,Medium High,GPT,results_run1
in-b708da2b33f5c59c,,SQS,0.75,Medium High,GPT,results_run1
in-b708da2b33f5c59c,,S3,0.828,High,BERT+GPT,results_run1
in-b708da2b33f5c59c,,Terraform,0.75,Medium High,GPT,results_run1
in-57793e22513bd508,,SAP Process Integration (PI),0.83,High,BERT+GPT,results_run1
in-57793e22513bd508,,Process Orchestration (PO),0.83,High,BERT+GPT,results_run1
in-57793e22513bd508,,APIs,0.826,High,BERT+GPT,results_run1
in-57793e22513bd508,,middleware technologies,0.831,High,BERT+GPT,results_run1
in-57793e22513bd508,,SAP Integration Suite,0.83,High,BERT+GPT,results_run1
in-57793e22513bd508,,SAP’s ISA-M methodology,0.75,Medium High,GPT,results_run1
in-57793e22513bd508,,Data Architecture and Management,0.829,High,BERT+GPT,results_run1
in-57793e22513bd508,,Reporting and analytics,0.828,High,BERT+GPT,results_run1
in-57793e22513bd508,,data modeling,0.826,High,BERT+GPT,results_run1
in-57793e22513bd508,,master data management and governance,0.83,High,BERT+GPT,results_run1
in-57793e22513bd508,,data quality,0.826,High,BERT+GPT,results_run1
in-57793e22513bd508,,SAP’s,0.532,Medium Low,BERT (standalone),results_run1
in-57793e22513bd508,,ISA,0.532,Medium Low,BERT (standalone),results_run1
in-57793e22513bd508,,-M methodology.,0.532,Medium Low,BERT (standalone),results_run1
in-1c5a5a5c1628040b,,SQL database administration,0.831,High,BERT+GPT,results_run1
in-8e8358720b2049a4,,IBP,0.831,High,BERT+GPT,results_run1
in-8e8358720b2049a4,,Demand,0.827,High,BERT+GPT,results_run1
in-8e8358720b2049a4,,Supply,0.826,High,BERT+GPT,results_run1
in-8e8358720b2049a4,,Inventory,0.824,High,BERT+GPT,results_run1
in-8e8358720b2049a4,,Sales and Operations Planning,0.831,High,BERT+GPT,results_run1
in-8e8358720b2049a4,,SAP ECC,0.75,Medium High,GPT,results_run1
in-8e8358720b2049a4,,S4 HANA,0.75,Medium High,GPT,results_run1
in-8e8358720b2049a4,,SAP,0.532,Medium Low,BERT (standalone),results_run1
in-8e8358720b2049a4,,ECC,0.532,Medium Low,BERT (standalone),results_run1
in-8e8358720b2049a4,,/,0.532,Medium Low,BERT (standalone),results_run1
in-8e8358720b2049a4,,S4,0.532,Medium Low,BERT (standalone),results_run1
in-8e8358720b2049a4,,HANA.,0.532,Medium Low,BERT (standalone),results_run1
in-8e8358720b2049a4,,"customer support,",0.532,Medium Low,BERT (standalone),results_run1
in-731fc34f48c31ddd,,AI-driven digital learning platform,0.75,Medium High,GPT,results_run1
in-ed7c0956d23b6e08,,cloud computing,0.75,Medium High,GPT,results_run1
in-ed7c0956d23b6e08,,Machine Learning,0.831,High,BERT+GPT,results_run1
in-ed7c0956d23b6e08,,SAAS,0.75,Medium High,GPT,results_run1
in-ed7c0956d23b6e08,,Frontend Software Engineering,0.75,Medium High,GPT,results_run1
in-ed7c0956d23b6e08,,Backend Software Engineering,0.75,Medium High,GPT,results_run1
in-ed7c0956d23b6e08,,Product Management,0.75,Medium High,GPT,results_run1
in-ed7c0956d23b6e08,,Product Design,0.75,Medium High,GPT,results_run1
in-ed7c0956d23b6e08,,cloud,0.532,Medium Low,BERT (standalone),results_run1
in-ed7c0956d23b6e08,,-computing,0.532,Medium Low,BERT (standalone),results_run1
in-b608315da704076b,,API-first architecture,0.75,Medium High,GPT,results_run1
in-b608315da704076b,,scientific software development,0.828,High,BERT+GPT,results_run1
in-b608315da704076b,,Python,0.825,High,BERT+GPT,results_run1
in-b608315da704076b,,C++,0.75,Medium High,GPT,results_run1
in-b608315da704076b,,CUDA,0.831,High,BERT+GPT,results_run1
in-b608315da704076b,,cheminformatics toolkits,0.821,High,BERT+GPT,results_run1
in-b608315da704076b,,API,0.532,Medium Low,BERT (standalone),results_run1
in-b608315da704076b,,-first,0.532,Medium Low,BERT (standalone),results_run1
in-b608315da704076b,,C,0.532,Medium Low,BERT (standalone),results_run1
in-b608315da704076b,,+,0.532,Medium Low,BERT (standalone),results_run1
in-b608315da704076b,,"+,",0.532,Medium Low,BERT (standalone),results_run1
in-82c62095c56a09f5,,Elastic Stack,0.828,High,BERT+GPT,results_run1
in-82c62095c56a09f5,,GCP,0.828,High,BERT+GPT,results_run1
in-82c62095c56a09f5,,modern automation tooling,0.828,High,BERT+GPT,results_run1
in-d5c2072747d98126,,AI image generation,0.75,Medium High,GPT,results_run1
in-d5c2072747d98126,,video generation technologies,0.75,Medium High,GPT,results_run1
in-d5c2072747d98126,,commercial standards,0.75,Medium High,GPT,results_run1
in-4e2c7333fb3867a6,,SQL server,0.831,High,BERT+GPT,results_run1
in-4e2c7333fb3867a6,,cloud database,0.831,High,BERT+GPT,results_run1
in-b5334b461893d9f6,,Defense Acquisition Workforce Improvement Act (DAWIA),0.75,Medium High,GPT,results_run1
in-4dd4be4468b8f8b5,,HR,0.826,High,BERT+GPT,results_run1
in-4dd4be4468b8f8b5,,Sustainability,0.825,High,BERT+GPT,results_run1
in-4dd4be4468b8f8b5,,contract,0.831,High,BERT+GPT,results_run1
in-4dd4be4468b8f8b5,,Power BI,0.831,High,BERT+GPT,results_run1
in-4dd4be4468b8f8b5,,HR KPIs,0.829,High,BERT+GPT,results_run1
in-4dd4be4468b8f8b5,,engagement,0.827,High,BERT+GPT,results_run1
in-4dd4be4468b8f8b5,,turnover,0.828,High,BERT+GPT,results_run1
in-4dd4be4468b8f8b5,,absence,0.827,High,BERT+GPT,results_run1
in-4dd4be4468b8f8b5,,ESG metrics,0.829,High,BERT+GPT,results_run1
in-036c776371efd2b7,,AI techniques,0.75,Medium High,GPT,results_run1
in-036c776371efd2b7,,business decisions,0.75,Medium High,GPT,results_run1
in-036c776371efd2b7,,process automation,0.75,Medium High,GPT,results_run1
in-fc00c70672996923,,API testing,0.831,High,BERT+GPT,results_run1
in-fc00c70672996923,,data services,0.831,High,BERT+GPT,results_run1
in-78cf01cb605e5896,,Delinea,0.831,High,BERT+GPT,results_run1
in-78cf01cb605e5896,,Thycotic,0.831,High,BERT+GPT,results_run1
in-78cf01cb605e5896,,PAM,0.83,High,BERT+GPT,results_run1
in-78cf01cb605e5896,,AD,0.825,High,BERT+GPT,results_run1
in-78cf01cb605e5896,,Azure AD,0.823,High,BERT+GPT,results_run1
in-78cf01cb605e5896,,identity systems,0.532,Medium Low,BERT (standalone),results_run1
in-b9d4aea91e3f2d0c,,Epic Ambulatory,0.75,Medium High,GPT,results_run1
in-fa78458f9443eaa7,,database applications,0.831,High,BERT+GPT,results_run1
in-fa78458f9443eaa7,,web-based systems,0.823,High,BERT+GPT,results_run1
in-752b949d027be167,,online booking,0.75,Medium High,GPT,results_run1
in-752b949d027be167,,scheduling,0.75,Medium High,GPT,results_run1
in-752b949d027be167,,client marketing,0.75,Medium High,GPT,results_run1
in-752b949d027be167,,staff management,0.75,Medium High,GPT,results_run1
in-752b949d027be167,,point of sale,0.75,Medium High,GPT,results_run1
in-752b949d027be167,,payments,0.75,Medium High,GPT,results_run1
in-752b949d027be167,,inventory,0.75,Medium High,GPT,results_run1
in-752b949d027be167,,analytics,0.75,Medium High,GPT,results_run1
in-4256252b53fa4d02,,data analysis and visualization best practices,0.829,High,BERT+GPT,results_run1
in-05083d32f3b2c12f,,aviation industry,0.75,Medium High,GPT,results_run1
in-554dc0d2bef78a4c,,high-frequency trading (HFT) systems,0.827,High,BERT+GPT,results_run1
in-554dc0d2bef78a4c,,algorithmic trading strategies,0.831,High,BERT+GPT,results_run1
in-554dc0d2bef78a4c,,market structures,0.829,High,BERT+GPT,results_run1
in-554dc0d2bef78a4c,,derivatives,0.826,High,BERT+GPT,results_run1
in-554dc0d2bef78a4c,,risk management,0.826,High,BERT+GPT,results_run1
in-554dc0d2bef78a4c,,high,0.532,Medium Low,BERT (standalone),results_run1
in-554dc0d2bef78a4c,,traditional,0.532,Medium Low,BERT (standalone),results_run1
in-554dc0d2bef78a4c,,finance,0.532,Medium Low,BERT (standalone),results_run1
in-f9819a980c1976e8,,PHP,0.75,Medium High,GPT,results_run1
in-f9819a980c1976e8,,Python,0.75,Medium High,GPT,results_run1
in-d7f955d1258c78ff,,Transport,0.831,High,BERT+GPT,results_run1
in-d7f955d1258c78ff,,Ring Road,0.831,High,BERT+GPT,results_run1
in-d7f955d1258c78ff,,State Government,0.831,High,BERT+GPT,results_run1
in-d7f955d1258c78ff,,Civil Engineering,0.831,High,BERT+GPT,results_run1
in-d7f955d1258c78ff,,Transport Planning,0.831,High,BERT+GPT,results_run1
in-21d24d42a7df10cd,,LEGO games franchise,0.75,Medium High,GPT,results_run1
in-21d24d42a7df10cd,,Warner Bros.,0.75,Medium High,GPT,results_run1
in-208b2e5025df647a,,machine learning,0.831,High,BERT+GPT,results_run1
in-208b2e5025df647a,,real-time systems,0.75,Medium High,GPT,results_run1
in-208b2e5025df647a,,large-scale systems,0.75,Medium High,GPT,results_run1
in-04b0497aa91e1731,,AI,0.83,High,BERT+GPT,results_run1
in-04b0497aa91e1731,,quantum information science,0.75,Medium High,GPT,results_run1
in-04b0497aa91e1731,,theoretical physics,0.75,Medium High,GPT,results_run1
in-04b0497aa91e1731,,mathematical foundations,0.75,Medium High,GPT,results_run1
in-04b0497aa91e1731,,physical foundations,0.75,Medium High,GPT,results_run1
in-04b0497aa91e1731,,AI and theoretical physics;,0.532,Medium Low,BERT (standalone),results_run1
in-c8b5d048476a93d0,,wellbeing insights platform,0.75,Medium High,GPT,results_run1
in-6c05d56a44786edb,,secure communications,0.75,Medium High,GPT,results_run1
in-6c05d56a44786edb,,private communications,0.75,Medium High,GPT,results_run1
in-90b42c07ae279875,,engineering analysis,0.827,High,BERT+GPT,results_run1
in-90b42c07ae279875,,construction inspection,0.828,High,BERT+GPT,results_run1
in-90b42c07ae279875,,material testing,0.826,High,BERT+GPT,results_run1
in-90b42c07ae279875,,contract administration,0.831,High,BERT+GPT,results_run1
in-90b42c07ae279875,,construction engineering,0.828,High,BERT+GPT,results_run1
in-49c600e867b28fcc,,financial instruments,0.829,High,BERT+GPT,results_run1
in-49c600e867b28fcc,,private equity investments,0.831,High,BERT+GPT,results_run1
in-49c600e867b28fcc,,credit modelling,0.831,High,BERT+GPT,results_run1
in-49c600e867b28fcc,,analytics,0.75,Medium High,GPT,results_run1
in-49c600e867b28fcc,,automation,0.75,Medium High,GPT,results_run1
in-49c600e867b28fcc,,innovation,0.75,Medium High,GPT,results_run1
in-49c600e867b28fcc,,corporate treasury,0.75,Medium High,GPT,results_run1
in-195c25519bd7260c,,SQL,0.825,High,BERT+GPT,results_run1
in-195c25519bd7260c,,PowerBI,0.827,High,BERT+GPT,results_run1
in-195c25519bd7260c,,Python,0.825,High,BERT+GPT,results_run1
in-195c25519bd7260c,,AWS tools,0.829,High,BERT+GPT,results_run1
in-195c25519bd7260c,,Enterprise Data Platform,0.83,High,BERT+GPT,results_run1
in-acb2a7db662d2b2b,,software engineering,0.831,High,BERT+GPT,results_run1
in-acb2a7db662d2b2b,,version control,0.75,Medium High,GPT,results_run1
in-acb2a7db662d2b2b,,testing,0.75,Medium High,GPT,results_run1
in-acb2a7db662d2b2b,,CI/CD,0.75,Medium High,GPT,results_run1
in-acb2a7db662d2b2b,,"testing,",0.532,Medium Low,BERT (standalone),results_run1
in-acb2a7db662d2b2b,,CI,0.532,Medium Low,BERT (standalone),results_run1
in-acb2a7db662d2b2b,,/,0.532,Medium Low,BERT (standalone),results_run1
in-acb2a7db662d2b2b,,CD).,0.532,Medium Low,BERT (standalone),results_run1
in-fa78458f9443eaa7,,DTS Helpdesk system,0.75,Medium High,GPT,results_run1
in-b512302fe3907f2d,,office,0.75,Medium High,GPT,results_run1
in-b512302fe3907f2d,,industrial,0.75,Medium High,GPT,results_run1
in-b512302fe3907f2d,,retail,0.75,Medium High,GPT,results_run1
in-b512302fe3907f2d,,hotel,0.75,Medium High,GPT,results_run1
in-b512302fe3907f2d,,property types,0.75,Medium High,GPT,results_run1
