component_id,component_name,bloom_level,phrases
basic_job_skills_ohs,Basic Job Skills Ohs,apply,"occupational health and safety, osha, hse, workplace safety, standard procedures, standard operating procedures, sop, work culture, work procedures, safety procedures, accident prevention, tool management, asset management, inventory management, user interface development"
basic_job_skills_ohs,Basic Job Skills Ohs,analyze,"workflow optimization, root cause analysis, incident reporting, risk assessment, analyze development process, analyze programming process, analyze algorithms in development process for efficiency and correctness"
network_technology,Network Technology,apply,"network basics, computer network, network configuration, connectivity, cabling, wireless setup, lan, wan, tcp/ip, dns, dhcp, vpn, routing, switching, cisco"
network_technology,Network Technology,analyze,"hardware analysis, topology comparison, network troubleshooting, packet analysis, wireshark, network monitoring, bandwidth analysis, latency troubleshooting, network diagnostics, troubleshoot network issues, diagnose network problems, analyze network performance, analyze network topology choices"
structured_programming,Structured Programming,apply,"structured programming principles, logic programming, procedural programming, c programming, pascal, control structures, loops, functions, arrays, pointers, write structured code, use loops, use conditionals, simple console applications, apply structured programming in simple software projects"
structured_programming,Structured Programming,analyze,"logic analysis, debugging, problem solving, stack trace analysis, memory management, code optimization, error handling, analyze logic errors, trace code, debug procedural code, analyze and solve logic problems for effective and efficient solutions"
structured_programming,Structured Programming,create,"effective solution creation, efficient program, algorithm design, embedded systems programming, utility scripts, create simple software using structured programming, create simple games using structured programming"
oop,Oop,apply,"object oriented concepts, oop, encapsulation, inheritance, polymorphism, java, c#, .net, python, c++, classes, objects, instantiation, object oriented programming, oop principles"
oop,Oop,create,"oop solution, class design, software architecture, class hierarchy, api design, backend logic, modular code, design class diagrams, design class hierarchy, design object model, build solutions using encapsulation, inheritance, and polymorphism, create simple software using oop, create simple games using oop"
database_systems,Database Systems,create,"database design, database creation, sql utilization, structured query language, mysql, postgresql, oracle, sql server, sqlite, mongodb, nosql, database schema, erd, entity relationship diagram, normalization"
multimedia_programming,Multimedia Programming,apply,"command execution, library utilization, gui programming, graphical user interface, swing, javafx, tkinter, qt, external libraries, dependency management, maven, gradle, pip, npm, event-driven programming"
multimedia_programming,Multimedia Programming,create,"software modeling, multimedia application, desktop application, graphics rendering, opengl, directx, game mechanics, uml modeling, design desktop applications, design gui, build multimedia apps, build text-based and graphics-based applications"
web_development,Web Development,apply,"server-side programming, web framework, web documentation, html, css, javascript, typescript, php, laravel, codeigniter, bootstrap, tailwind, jquery, frontend development, backend development"
web_development,Web Development,create,"static web, dynamic web, web application, react, angular, vue, node.js, express, django, flask, asp.net, ruby on rails, rest api, graphql, full stack development"
mobile_development,Mobile Development,apply,"mobile programming, ide utilization, mobile framework, mobile database, api integration, android studio, xcode, sdk, firebase, sqlite, realm, rest client, android developer, ios developer, use mobile sdk"
mobile_development,Mobile Development,create,"mobile application, android application, ios application, kotlin, java for android, swift, objective-c, flutter, dart, react native, ionic, cross-platform development, app deployment, play store, app store"
game_modeling,Game Modeling,analyze,"game concept, game design document, gdd, game mechanic concept, game system concept, game technical concept, game level concept, game narrative concept, game user research, game user research concept, analyze game balancing"
game_modeling,Game Modeling,create,"create game prototype, game design prototype, design game levels, design game systems, design game mechanics, design game narrative"
game_programming,Game Programming,apply,"game engine, unity, unreal engine, godot, gameplay programming, implement gameplay, implement ui ux in games, integrate static assets, integrate dynamic assets, implement text-based and graphics-based programming in games, implement additional functionality in game engine"
game_programming,Game Programming,analyze,"debug games, debug gameplay, optimize game performance, profile game performance, analyze game performance"
game_programming,Game Programming,create,"develop game, build game, implement game mechanics, implement game features, implement tools and plugins, game testing, game polishing, create contextual games"
graphics_multimedia,Graphics Multimedia,apply,"concept art, art design document, character design, environment design, prop design, 2d animation, cut out animation, puppeteer animation, 3d modeling, digital sculpting, texturing, uv mapping, rigging, character rigging, simulate rigid body"
graphics_multimedia,Graphics Multimedia,create,"create game assets, create visual assets, design characters, design environments, design props, create 2d animation for games, create 3d models for games, create visual effects for games"
audio_editing,Audio Editing,apply,"audio editing, sound editing, sound design, dubbing, voice over, record voice, record dialogue, sound effects, background music, music scoring, use daw, digital audio workstation, audacity, mixing audio, audio mixing"
