gold_id,job_id,skill,type,bloom,confidence_score,confidence_tier,source,semantic_density,context_agreement,is_correct,type_label,bloom_label,labeler_id,notes
gs_d47ccfe0de1c,in-042b565c84045356,escalate unresolved issues,Soft,,0.896,High,BERT+LLM,0.83,0.97,,,,,
gs_fd403b321b7f,in-d7f955d1258c78ff,driven,Hard,Apply,0.507,Medium Low,BERT (standalone),0.78,0.88,,,,,
gs_46339368b905,in-290c255a99e5d600,models,Hard,Create,0.518,Medium Low,BERT (standalone),0.78,0.82,,,,,
gs_2e9b673bb625,in-9678e40f6333b1c2,inform technology selection,Hard,Analyze,0.625,Medium,LLM,0.85,0.9,,,,,
gs_257be2b96edc,in-343fb59fed699dbe,developing,Hard,Create,0.602,Medium,BERT (standalone),0.9,0.94,,,,,
gs_d71c65aa937f,in-300ad6c0e8012768,set clear scopes for delivery,Soft,,0.668,Medium,LLM,0.75,0.96,,,,,
gs_5dff6c7434da,in-290c255a99e5d600,justify CAPEX investments,Soft,,0.623,Medium,LLM,0.83,0.92,,,,,
gs_1b33673baab6,in-80aa4c8b345e347c,Document,Hard,Apply,0.646,Medium,BERT (standalone),0.84,0.83,,,,,
gs_e4b38edccc5a,in-94c8e798911e3470,use DataWeave,Hard,Apply,0.699,Medium,LLM,0.78,0.9,,,,,
gs_748425b07674,in-c180dba542c64365,remain composed in fast-paced environment,Soft,,0.811,High,BERT+LLM,0.78,1.2,,,,,
gs_6357a5a7abe3,in-fb28c5cfe02f8621,support products,Hard,Evaluate,0.676,Medium,LLM,0.83,0.9,,,,,
gs_9862ae1ff98c,in-db414c3f347ab5a9,communicate with teams,Soft,,0.664,Medium,LLM,0.8,0.9,,,,,
gs_2963bea503e6,in-52bea7838defdd8b,self,Hard,Apply,0.506,Medium Low,BERT (standalone),0.72,0.87,,,,,
gs_e4475fec9144,in-2d0ccdc10653d678,coordinating,Hard,Apply,0.505,Medium Low,BERT (standalone),0.9,0.85,,,,,
gs_dfef699e77b5,in-51c7104058d81dcd,integrate intellectual properties,Hard,Create,0.712,Medium High,LLM,0.9,0.93,,,,,
gs_46161a95eec7,in-47cb2632cbb50ff2,grow influence in leadership,Soft,,0.634,Medium,LLM,0.79,0.9,,,,,
gs_45d1747243c3,in-9ca4b59434bdff57,build smarter workflows,Hard,Create,1.0,Very High,BERT+LLM,0.81,1.36,,,,,
gs_a11d1aaaedff,in-fe0c3c02092b2d9b,ensure robust manufacturing process design,Hard,Create,1.0,Very High,BERT+LLM,0.83,1.34,,,,,
gs_def6dfba3d9e,in-19e9ead015fac709,coordinate proof of concept initiatives,Soft,,0.78,Medium High,BERT+LLM,0.8,1.23,,,,,
gs_b8158abdf234,in-d10d817a4109cb43,drive cross-functional campaigns,Soft,,0.885,High,BERT+LLM,0.87,1.33,,,,,
gs_f8679bfe47b7,in-db414c3f347ab5a9,non -technical users.,Hard,Apply,0.513,Medium Low,BERT (standalone),0.79,0.81,,,,,
gs_ee07b3aa4938,in-5c064784cb4d2d46,deliver highways,Hard,Apply,0.5,Low,BERT (standalone),0.83,0.85,,,,,
gs_deb245268dd5,in-2c51b7ae331d77d3,support Value Based Care,Soft,,0.63,Medium,LLM,0.76,0.9,,,,,
gs_d9fd109c03a6,in-2ea46d88545e7e84,double check formulas on schedules,Hard,Evaluate,1.0,Very High,BERT+LLM,0.79,1.21,,,,,
gs_fe59addc1dc0,in-47bbd47e0472b0e6,support Directors,Soft,,0.838,High,BERT+LLM,0.82,1.21,,,,,
gs_a271e1846e2c,in-49099bdcf0fb6b25,-driven,Hard,Apply,0.496,Low,BERT (standalone),0.81,0.84,,,,,
gs_b7006d272941,in-fdb767bd9c1ff1b1,interpersonal skills.,Soft,,0.638,Medium,BERT (standalone),0.9,0.83,,,,,
gs_9b38fd1b994f,in-ca9cb73a9119aa2c,communicate in writing,Soft,,0.681,Medium,LLM,0.8,0.96,,,,,
gs_fe2581608ded,in-42d320f59ab5e0b2,enforce coding standards,Hard,Apply,1.0,Very High,BERT+LLM,0.82,1.3,,,,,
gs_a6c24a44a939,in-66e2f2f3d3633e25,share knowledge with colleagues,Soft,,0.805,High,BERT+LLM,0.81,1.21,,,,,
gs_86da2c67523a,in-1d7e13f2620e956d,use AI-based modelling,Hard,Create,0.593,Medium Low,LLM,0.8,0.9,,,,,
gs_f97ccac1550a,in-df6f85e26c061439,lead design implementation,Soft,,0.641,Medium,LLM,0.84,0.9,,,,,
gs_37e06b282029,in-61b2431bbabae3a8,scale with demand,Hard,Apply,0.608,Medium,LLM,0.75,0.93,,,,,
gs_e1df281e3d07,in-1f7c05e642b1bc5e,provide tailored support,Soft,,0.702,Medium High,LLM,0.82,0.99,,,,,
gs_a8fcd93faa9b,in-9544b23f97dca456,identify perpetrators of fraud,Hard,Analyze,0.673,Medium,LLM,0.8,0.9,,,,,
gs_3529d0ccc37e,in-222ce273412611d7,quality,Hard,Apply,0.3,Very Low,BERT (standalone),0.81,0.85,,,,,
gs_f687b9d7571a,in-184a7a102cde8e55,qualify upsell opportunities,Soft,,0.685,Medium,LLM,0.86,1.0,,,,,
gs_213c2e535024,in-31312032e7feb5d2,review documents related to inventory units,Hard,Create,0.625,Medium,LLM,0.79,0.95,,,,,
gs_030cb943846c,in-66e2f2f3d3633e25,ensure efficient processes,Soft,,0.748,Medium High,BERT+LLM,0.81,1.19,,,,,
gs_a26242521109,in-eb1ef332dc16dd51,technical,Hard,Apply,0.433,Low,BERT (standalone),0.87,0.81,,,,,
gs_df11e361c09e,in-042b565c84045356,stay up to date with industry trends,Soft,,0.643,Medium,LLM,0.73,0.97,,,,,
gs_3d87c15892a5,in-7fd767baaf0bccff,generate new ways for assessing performance,Hard,Create,0.943,Very High,LLM,0.79,1.27,,,,,
gs_c8053ceb5bd1,in-12365ed7bd9554c7,oversee creation of digital models,Hard,Create,0.577,Medium Low,LLM,0.78,0.92,,,,,
gs_1a75cfcc4087,in-98f86719a70441b8,Produce clear,Hard,Create,0.659,Medium,BERT (standalone),0.78,0.85,,,,,
gs_9587d7acf6fc,in-aafaf175d9daeacb,manage time,Soft,,1.0,Very High,BERT+LLM,0.78,1.18,,,,,
gs_0553510cae51,in-0d3eaa412d929e3e,promote best practices,Soft,,0.851,High,BERT+LLM,0.8,1.27,,,,,
gs_45eb228123f0,in-208b2e5025df647a,develop machine learning technologies,Hard,Create,0.68,Medium,LLM,0.86,0.9,,,,,
gs_f9523466e725,in-8ae05cc371b524c1,deliver secure solutions,Hard,Apply,0.57,Medium Low,LLM,0.82,0.9,,,,,
gs_28ed9bce9c0b,in-14d73f227fd45146,optimize database processes,Hard,Evaluate,0.758,Medium High,LLM,1.0,0.97,,,,,
gs_8cfb57f920ce,in-70fd1b405f4402fc,integrate flexibility products,Hard,Create,0.714,Medium High,LLM,0.88,0.94,,,,,
gs_3216a0767cae,in-02b87c4d7065c603,evaluation.,Hard,Apply,0.522,Medium Low,BERT (standalone),0.9,0.9,,,,,
gs_83db794540a7,in-3a39cfdef1dc8c0a,build integrations,Hard,Create,0.749,Medium High,BERT+LLM,0.88,0.93,,,,,
