gold_id,job_id,knowledge,confidence_score,confidence_tier,source,is_overlap,is_correct,labeler_id,notes
gk_865f985eb226,in-f799d6ad16c4eab4,classification models,0.778,Medium High,BERT+LLM,False,,,
gk_4c2d8b5b315c,in-1b07eb34b95bda42,"patient safety,",0.556,Medium Low,BERT (standalone),False,,,
gk_ac708f1e87f6,in-18cb5784cc91da52,road user charging,0.75,Medium High,LLM,False,,,
gk_29808d5dfd33,in-cb469524b35ad55f,monitoring,0.271,Very Low,BERT (standalone),False,,,
gk_b696ec883063,in-ec932e38e216e648,action RPG genre,0.75,Medium High,LLM,False,,,
gk_d6325d7ecf3d,in-d7e16cc799ac4adb,Data Warehousing,0.75,Medium High,LLM,False,,,
gk_81babeb37330,in-c530a3c8b8b21962,Electronic Trading,0.75,Medium High,LLM,False,,,
gk_1582dda61f68,in-a224209703562542,user stories,0.75,Medium High,LLM,False,,,
gk_7694b44b30da,in-fea6f15911810b84,usability standards,0.75,Medium High,LLM,False,,,
gk_bace02abd213,in-48920929fb5db222,mobile app development,0.75,Medium High,LLM,True,,,
gk_829385b0e1e3,in-6179e27e3e3b1221,software,0.292,Very Low,BERT (standalone),True,,,
gk_2dcd6c285840,in-ebbfe003a111e1ad,React,0.75,Medium High,LLM,False,,,
gk_e5fdd42c6081,in-cc0c01e449ac8df0,user experience,0.785,Medium High,BERT+LLM,True,,,
gk_eb31634b030d,in-cb469524b35ad55f,AI systems,0.75,Medium High,LLM,True,,,
gk_1c218276b381,in-2d603bfc2b84d854,secure distributed systems,0.75,Medium High,LLM,False,,,
gk_396cfdf9aac9,in-d58be9b941c40e7c,"Word,",0.517,Medium Low,BERT (standalone),False,,,
gk_17814a3e0fc9,in-f9d488e0553375cd,e-trading,0.75,Medium High,LLM,True,,,
gk_b1d1f9154e92,in-145f2060da39ba0c,UI/UX,0.75,Medium High,LLM,True,,,
gk_e42be2d52f22,in-5aca43f142c28402,modern front,0.463,Low,BERT (standalone),False,,,
gk_73562f311d15,in-a3fd845c660c8c35,Oracle E -Business Suite data model,0.5,Medium Low,BERT (standalone),False,,,
gk_4e42ba42acdb,in-b3082e5e7e84fb6c,data analysis,0.75,Medium High,LLM,True,,,
gk_296912e383bd,in-793abd07fa428a3b,reports,0.75,Medium High,LLM,False,,,
gk_affd8cfb2818,in-cd12856de85dc43c,low carbon energy technology,0.75,Medium High,LLM,False,,,
gk_d81fa2dea90d,in-efbca6ae81940ddf,corporate headshots,0.781,Medium High,BERT+LLM,True,,,
gk_cb530a31b891,in-f7bdb497758a5bfa,professional degree,0.427,Low,BERT (standalone),False,,,
gk_f48c83a34e9e,in-89ac110868858b15,automation,0.844,High,BERT+LLM,False,,,
gk_b30b26ac45d4,in-c550802932793d54,Federal Bureau of Investigation,0.75,Medium High,LLM,False,,,
gk_a6ce836adbb3,in-bacf82922de13ca1,Corporate Real Estate,0.836,High,BERT+LLM,False,,,
gk_e7b6e358f457,in-208927b25247d93a,powder coating,0.846,High,BERT+LLM,True,,,
gk_972aea131804,in-04a4733289ddfb31,machine learning,0.827,High,BERT+LLM,False,,,
gk_4f08fa89f5a5,in-c1e5bef8c40f180e,WLM,0.544,Medium Low,BERT (standalone),True,,,
gk_bfc8d278393c,in-863349e3091efe5c,various,0.339,Very Low,BERT (standalone),False,,,
gk_b89602a00c48,in-b4b1e4c5481eb021,training and development framework,0.75,Medium High,LLM,False,,,
gk_0b8942ea686e,in-558ae189d27d902f,"financial information),",0.542,Medium Low,BERT (standalone),False,,,
gk_026c6f2b1dd5,in-2c855b1de8c84f5d,CI/CD pipelines,0.75,Medium High,LLM,False,,,
gk_e5258f3f3af5,in-22d874b31008ad6e,Power products,0.851,High,BERT+LLM,False,,,
gk_9c5b0c4f575d,in-2273d0bbf45189ae,machine learning infrastructure,0.75,Medium High,LLM,True,,,
gk_031850e4b283,in-f2eb771501a78e57,engineering,0.75,Medium High,LLM,False,,,
gk_a4f3d481740b,in-3caaf408a8b81368,CSS,0.841,High,BERT+LLM,False,,,
gk_21100b13979a,in-a6048f4784c10cfc,cloud provisioning,0.558,Medium Low,BERT (standalone),False,,,
